Genome	Completeness (%)	Contamination (%)	G+C (%)	Genome size (bp)	97% ANI cluster representative	Named subclade	Clade name	genome_acc	biosample_accession
AD3_palsa_863	87.71	1.85	66.3681834791792	3782900	73.20120500_P32.17	Ca. Changshengia	AD3	PKWB00000000	SAMN08179485
AD3_palsa_864	72.13	1.85	66.6383709127547	3212739	73.20120700_P3D.21	Ca. Changshengia	AD3	PKVS00000000	SAMN08179494
AD3_palsa_865	97.94	1.85	64.3072971587079	3286646	73.20110800_P1M.6	Ca. Changshengia	AD3	PKVN00000000	SAMN08179499
AD3_palsa_866	98.12	6.27	64.5295470698334	3178950	73.20110800_P1M.6	Ca. Changshengia	AD3	PKVF00000000	SAMN08179507
AD3_palsa_869	77.14	5.56	65.9503395855874	2204093	73.20111000_P2M.19	Ca. Changshengia	AD3	PMAJ00000000	SAMN08179822
AD3_palsa_870	98.12	1.03	65.5031367654232	2938603	73.20120700_P3D.214	Ca. Changshengia	AD3	PLYZ00000000	SAMN08179859
AD3_palsa_871	97.69	0	66.3980721668328	3955706	73.20120700_P3D.21	Ca. Changshengia	AD3	PLZA00000000	SAMN08179858
AD3_palsa_872	91.9	5.56	64.4853557292767	3318627	73.20120700_P3D.30	Ca. Changshengia	AD3	PLYD00000000	SAMN08179881
AD3_palsa_873	78.54	2.78	70.4247083289788	2472157	73.20110800_E2D.52	Ca. Changshengia	AD3	PLXN00000000	SAMN08179897
AD3_palsa_874	74.85	0	69.9582570321361	2393235	73.20120700_P3D.45	Ca. Changshengia	AD3	PLXL00000000	SAMN08179899
AD3_palsa_875	87.29	0	68.5481786110592	3018044	73.20120700_P3D.68	Ca. Changshengia	AD3	PLWW00000000	SAMN08179914
Acidobacteria_bog_100	83.76	1.77	59.7859847392163	4531811	73.20110800_S3D.6	NA	NA	PMPL00000000	SAMN08178812
Acidobacteria_bog_101	73.9	0	62.4855567648408	4163257	73.20120700_S3X.5	NA	NA	PMPM00000000	SAMN08178813
Acidobacteria_bog_102	85.48	0	58.8124248982019	4236247	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMPO00000000	SAMN08178815
Acidobacteria_bog_103	72.13	5.56	63.192374130728	6422270	73.20110600_S1M.43	NA	NA	PMPW00000000	SAMN08178823
Acidobacteria_bog_104	76.6	0.88	62.4225325791999	4383505	73.20120700_S3X.5	NA	NA	PMPU00000000	SAMN08178821
Acidobacteria_bog_105	90.97	0.43	55.3657587030739	7819467	73.20110600_S1S.25	NA	NA	PMQB00000000	SAMN08178828
Acidobacteria_bog_106	88.21	1.85	58.8455908919121	4332602	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMQA00000000	SAMN08178827
Acidobacteria_bog_107	95.43	4.31	61.2392010403965	3550282	73.20120800_E3X.5	NA	NA	PMQH00000000	SAMN08178834
Acidobacteria_bog_108	75.64	2.59	61.778854424954	2735094	73.20110600_S1D.24	NA	NA	PMQI00000000	SAMN08178835
Acidobacteria_bog_109	89.33	2.24	62.5913284577729	7365013	73.20110600_S3M.35	NA	NA	PMQJ00000000	SAMN08178836
Acidobacteria_bog_110	93.63	1.25	58.9411114161909	5238957	73.20110800_S1M.45	NA	NA	PMQO00000000	SAMN08178841
Acidobacteria_bog_111	71.05	6.14	62.8575705064646	5969823	73.20110600_S2D.50	NA	NA	PMQR00000000	SAMN08178844
Acidobacteria_bog_112	89.49	0	58.8397304353979	4176028	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMQS00000000	SAMN08178845
Acidobacteria_bog_113	83.24	1.75	59.6869648185256	5276219	73.20110800_S3S.12	NA	NA	PMQX00000000	SAMN08178850
Acidobacteria_bog_114	91.79	0	58.8620606004598	4331579	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMQY00000000	SAMN08178851
Acidobacteria_bog_115	73.06	1.29	62.6727603494153	3828712	73.20120800_S3X.20	NA	NA	PMRD00000000	SAMN08178856
Acidobacteria_bog_116	74.39	3.88	62.209364072422	2526683	73.20110600_S1D.24	NA	NA	PMRM00000000	SAMN08178865
Acidobacteria_bog_117	92.25	1.36	62.5012095403951	7838404	73.20110600_S3M.35	NA	NA	PMRN00000000	SAMN08178866
Acidobacteria_bog_118	98.02	1.28	58.8625044790713	5515153	73.20110800_S1M.45	NA	NA	PMRP00000000	SAMN08178868
Acidobacteria_bog_119	91.47	0.47	58.7797664805729	4202907	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMRV00000000	SAMN08178874
Acidobacteria_bog_149	87.05	3.02	61.6018163426889	4963643	73.20120800_S3X.20	NA	NA	PMVA00000000	SAMN08178958
Acidobacteria_bog_150	99.12	0	62.4004735913349	5649593	73.20120700_S3X.5	NA	NA	PMUZ00000000	SAMN08178957
Acidobacteria_bog_151	78.7	2.59	59.4294741552066	5042223	73.20110800_S3D.6	NA	NA	PMVC00000000	SAMN08178960
Acidobacteria_bog_152	89.85	0	58.8746695445355	4270125	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMVD00000000	SAMN08178961
Acidobacteria_bog_153	88.47	0	58.831824140079	4233600	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMVE00000000	SAMN08178962
Acidobacteria_bog_154	78.84	1.71	58.5238360240794	4131384	73.20110700_S3M.38	NA	NA	PMVJ00000000	SAMN08178967
Acidobacteria_bog_155	91.03	0	62.3770446833815	5385439	73.20120700_S3X.5	NA	NA	PMVK00000000	SAMN08178969
Acidobacteria_bog_156	81.92	5.17	60.2510150586551	6408951	73.20110800_S3D.19	NA	NA	PNBK00000000	SAMN08178974
Acidobacteria_bog_157	96.63	4.27	58.0988130600886	5521633	73.20110800_S1M.27	Ca. Acidiflorens stordalenmirensis	Ca. Acidiflorens	PMVQ00000000	SAMN08178976
Acidobacteria_bog_158	82.87	2.59	62.0180381921991	2753970	73.20110600_S1D.24	NA	NA	PMVR00000000	SAMN08178977
Acidobacteria_bog_159	93.21	1.8	62.5913395810473	7561945	73.20110600_S3M.35	NA	NA	PMVV00000000	SAMN08178981
Acidobacteria_bog_160	90.55	0.86	60.1393463389916	4186064	73.20110800_S3D.42	NA	NA	PMVW00000000	SAMN08178982
Acidobacteria_bog_161	95.46	0.85	58.871613541579	5523653	73.20110800_S1M.45	NA	NA	PMVY00000000	SAMN08178984
Acidobacteria_bog_162	72.18	5.68	60.3257146216113	5772101	73.20110800_S3D.19	NA	NA	PMWH00000000	SAMN08178993
Acidobacteria_bog_163	79.67	1.8	62.5854259911302	7107763	73.20110600_S3M.35	NA	NA	PMWJ00000000	SAMN08178995
Acidobacteria_bog_164	89.71	4.7	58.8538486404942	5290860	73.20110800_S1M.45	NA	NA	PMWK00000000	SAMN08178996
Acidobacteria_bog_165	87.38	2.16	59.9231969747925	4506350	73.20110800_S3D.6	NA	NA	PMWO00000000	SAMN08179000
Acidobacteria_bog_166	74.83	1.29	59.2126344443418	5329118	73.20110700_S3M.25	NA	NA	PMWR00000000	SAMN08179003
Acidobacteria_bog_167	86.82	6.52	60.4026893234439	6346841	73.20110800_S3D.19	NA	NA	PMWS00000000	SAMN08179004
Acidobacteria_bog_168	74.29	0.43	61.610532380265	4287228	73.20120800_S3X.20	NA	NA	PMWU00000000	SAMN08179006
Acidobacteria_bog_169	95.04	0.9	58.3184528496631	4953686	73.20110700_S3M.38	NA	NA	PMWW00000000	SAMN08179008
Acidobacteria_bog_170	74.98	1.71	62.687012483882	2595138	73.20120700_S3D.34	NA	NA	PMWZ00000000	SAMN08179011
Acidobacteria_bog_171	94.2	0	62.4832925698726	5309478	73.20120700_S3X.5	NA	NA	PMWY00000000	SAMN08179010
Acidobacteria_bog_172	78.62	4.09	59.644324169016	4757570	73.20110700_S3M.50	NA	NA	PMXB00000000	SAMN08179013
Acidobacteria_bog_173	80.65	3.62	59.9183894420195	4380163	73.20110800_S3D.6	NA	NA	PMXF00000000	SAMN08179017
Acidobacteria_bog_174	75.47	1.71	58.3201579242181	4874894	73.20110700_S3M.98	NA	NA	PMXH00000000	SAMN08179019
Acidobacteria_bog_200	95.73	2.56	58.089704990639	5499470	73.20110800_S1M.27	Ca. Acidiflorens stordalenmirensis	Ca. Acidiflorens	PLIL00000000	SAMN08179154
Acidobacteria_bog_201	70.16	2.63	61.3540606580912	2651444	73.20120800_E3X.5	NA	NA	PLIK00000000	SAMN08179155
Acidobacteria_bog_202	96.56	0.85	58.1127402951326	5493220	73.20110800_S1M.27	Ca. Acidiflorens stordalenmirensis	Ca. Acidiflorens	PLIC00000000	SAMN08179164
Acidobacteria_bog_203	88.46	2.59	60.8837613839645	3466778	73.20110600_S1D.24	NA	NA	PLIB00000000	SAMN08179165
Acidobacteria_bog_204	83.81	1.75	62.590460757219	7482670	73.20110600_S3M.35	NA	NA	PLIA00000000	SAMN08179166
Acidobacteria_bog_205	99.69	0.85	58.8607744833039	5531701	73.20110800_S1M.45	NA	NA	PLHW00000000	SAMN08179170
Acidobacteria_bog_206	95.51	0.85	57.1456375792143	5453551	73.20110800_S1M.72	NA	NA	PLHQ00000000	SAMN08179176
Acidobacteria_bog_207	90.62	2.14	58.5787893035824	4622803	73.20110800_S1M.73	Acidiflorens clade 7	Ca. Acidiflorens	PLHP00000000	SAMN08179177
Acidobacteria_bog_208	78.69	0	62.4155634956242	4640461	73.20120700_S3X.5	NA	NA	PLHR00000000	SAMN08179175
Acidobacteria_bog_209	72.17	0.85	58.4724902176336	3907728	73.20110800_S1M.81	NA	NA	PLHN00000000	SAMN08179179
Acidobacteria_bog_210	95.86	1.32	60.4128624571124	3137262	73.20120700_S3D.28	NA	NA	PLHC00000000	SAMN08179190
Acidobacteria_bog_211	76.4	0.91	58.8397282277252	4662855	73.20110800_S1M.45	NA	NA	PNBH00000000	SAMN08179191
Acidobacteria_bog_212	89.95	1.72	59.8147564038661	4725122	73.20110800_S3D.6	NA	NA	PLHA00000000	SAMN08179193
Acidobacteria_bog_213	83.53	2.85	61.5583379640063	5056452	73.20120800_S3X.20	NA	NA	PLGX00000000	SAMN08179196
Acidobacteria_bog_214	74.15	0.86	61.8177109645976	2594363	73.20110600_S1D.24	NA	NA	PLGW00000000	SAMN08179197
Acidobacteria_bog_215	82.97	0	60.2768471724917	2762120	73.20120700_S3D.28	NA	NA	PLGV00000000	SAMN08179198
Acidobacteria_bog_216	92.13	0.86	59.8137784816092	4694399	73.20110800_S3D.6	NA	NA	PLGR00000000	SAMN08179202
Acidobacteria_bog_217	85.79	1.38	56.1837239256896	6318846	73.20120700_S1S.22	NA	NA	PNBG00000000	SAMN08179203
Acidobacteria_bog_218	94.54	4.36	60.5049029999722	6342538	73.20110800_S3D.19	NA	NA	PLGM00000000	SAMN08179208
Acidobacteria_bog_219	95.63	2.56	58.1204746534912	5473310	73.20110800_S1M.27	Ca. Acidiflorens stordalenmirensis	Ca. Acidiflorens	PLGL00000000	SAMN08179209
Acidobacteria_bog_220	87.76	3.88	61.9903068094752	2827421	73.20110600_S1D.24	NA	NA	PLGJ00000000	SAMN08179211
Acidobacteria_bog_221	93.46	3.61	62.5590446980227	7690263	73.20110600_S3M.35	NA	NA	PLGH00000000	SAMN08179213
Acidobacteria_bog_222	95.11	0.86	60.1643571750272	4234646	73.20110800_S3D.42	NA	NA	PLGG00000000	SAMN08179214
Acidobacteria_bog_223	97.83	0.85	58.8547547530092	5505352	73.20110800_S1M.45	NA	NA	PLGD00000000	SAMN08179217
Acidobacteria_bog_224	78.64	4.39	63.1823717316418	5281686	73.20110800_S3D.58	NA	NA	PLGA00000000	SAMN08179220
Acidobacteria_bog_225	95.66	1.75	62.4569038152785	5407871	73.20120700_S3X.5	NA	NA	PLGE00000000	SAMN08179216
Acidobacteria_bog_226	94.66	0	59.7957341063362	4780506	73.20110800_S3D.6	NA	NA	PLFY00000000	SAMN08179222
Acidobacteria_bog_227	71.98	4.7	58.3367623525638	4667177	73.20110800_S1M.73	Acidiflorens clade 7	Ca. Acidiflorens	PLFW00000000	SAMN08179224
Acidobacteria_bog_228	73.68	0.92	59.9622809928858	2990647	73.20120700_S3D.16	NA	NA	PLFR00000000	SAMN08179229
Acidobacteria_bog_229	80.11	3.45	61.145600652019	5283229	73.20110800_S3D.19	NA	NA	PLFQ00000000	SAMN08179230
Acidobacteria_bog_230	84.05	0	61.5117587220277	4996975	73.20120800_S3X.20	NA	NA	PLFN00000000	SAMN08179233
Acidobacteria_bog_231	85.48	3.45	59.8250707434493	4630185	73.20110800_S3D.6	NA	NA	PLFK00000000	SAMN08179236
Acidobacteria_bog_232	76.69	0	62.4202423263967	4816775	73.20120700_S3X.5	NA	NA	PLFI00000000	SAMN08179238
Acidobacteria_bog_233	91.67	0.88	59.463720716471	6102160	73.20110800_S3S.12	NA	NA	PLFE00000000	SAMN08179242
Acidobacteria_bog_234	83.44	1.75	60.0747407371904	6596786	73.20110800_S3S.41	NA	NA	PLEX00000000	SAMN08179249
Acidobacteria_bog_256	94.37	0.85	58.1323770054025	5749602	73.20111000_S1D.36	Acidiflorens clade 3	Ca. Acidiflorens	PLBE00000000	SAMN08179351
Acidobacteria_bog_257	74.09	3.47	59.2720926842551	4365399	73.20111000_S1D.39	NA	NA	PLBD00000000	SAMN08179352
Acidobacteria_bog_258	88.66	0	58.8773156184387	4094525	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLBA00000000	SAMN08179355
Acidobacteria_bog_259	80.86	2.99	61.5953669861127	4779977	73.20120800_S3X.20	NA	NA	PLAT00000000	SAMN08179362
Acidobacteria_bog_260	90.3	0.88	62.4525811269177	5265980	73.20120700_S3X.5	NA	NA	PLAS00000000	SAMN08179363
Acidobacteria_bog_261	74.81	1.72	59.8186501154742	4581855	73.20110800_S3D.6	NA	NA	PLAO00000000	SAMN08179367
Acidobacteria_bog_262	85.55	0	58.9859130810206	3319618	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLAN00000000	SAMN08179368
Acidobacteria_bog_263	90.95	0	58.8634387120907	4239900	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PKZQ00000000	SAMN08179391
Acidobacteria_bog_315	82.97	3.23	60.0093505415403	3494373	73.20120700_S3D.16	NA	NA	PMHF00000000	SAMN08179641
Acidobacteria_bog_316	76.29	0.43	59.394825396623	2828576	73.20120600_S1D.48	NA	NA	PMHC00000000	SAMN08179644
Acidobacteria_bog_317	92.74	0	62.6568446993658	4981074	73.20120700_S3X.5	NA	NA	PMHB00000000	SAMN08179645
Acidobacteria_bog_318	72.01	1.72	59.8550413015822	4477198	73.20110800_S3D.6	NA	NA	PMHA00000000	SAMN08179646
Acidobacteria_bog_319	92.54	0.85	58.8583229179967	4273586	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMGY00000000	SAMN08179648
Acidobacteria_bog_320	80.1	0.85	58.9449749568643	2866633	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMGU00000000	SAMN08179652
Acidobacteria_bog_321	79.25	5.6	58.1392657406315	4381105	73.20120600_S2D.28	NA	NA	PMGP00000000	SAMN08179657
Acidobacteria_bog_322	77.08	5.17	59.9188127856349	4449273	73.20110800_S3D.6	NA	NA	PMGK00000000	SAMN08179662
Acidobacteria_bog_323	87.86	0.05	58.9436654690115	3729378	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMFV00000000	SAMN08179677
Acidobacteria_bog_324	83.95	0.85	58.9731724621215	4138350	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMFS00000000	SAMN08179680
Acidobacteria_bog_325	93.06	0.85	58.913706587279	4303643	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMFO00000000	SAMN08179684
Acidobacteria_bog_326	73.71	0.85	62.4001116319802	4162915	73.20120800_S3X.20	NA	NA	PMFM00000000	SAMN08179686
Acidobacteria_bog_327	95.44	0	62.4402466059685	5691524	73.20120700_S3X.5	NA	NA	PMFH00000000	SAMN08179691
Acidobacteria_bog_328	78.07	0.86	59.9978714828518	4426527	73.20110800_S3D.6	NA	NA	PMFE00000000	SAMN08179694
Acidobacteria_bog_329	96.74	0	58.8410387779408	4343156	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PMEY00000000	SAMN08179700
Acidobacteria_bog_363	95.18	3.51	66.9703056375199	4841571	73.20120700_S1D.116	NA	NA	PLUC00000000	SAMN08179929
Acidobacteria_bog_364	72.64	1.72	58.9733296467306	4821837	73.20120700_S1D.133	NA	NA	PLTV00000000	SAMN08179936
Acidobacteria_bog_365	85.83	0.85	58.7963493354655	4192994	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLTU00000000	SAMN08179937
Acidobacteria_bog_366	75.4	3.42	58.1445044359766	6236720	73.20120700_S1D.223	NA	NA	PLWR00000000	SAMN08179951
Acidobacteria_bog_367	90.31	6.48	56.4533484110147	6186033	73.20120700_S1D.266	NA	NA	PLSX00000000	SAMN08179961
Acidobacteria_bog_368	73.46	1.29	58.8188818101739	5112986	73.20120700_S1D.31	NA	NA	PLST00000000	SAMN08179965
Acidobacteria_bog_369	74.45	4.31	61.5221977658776	4824528	73.20120800_S3X.20	NA	NA	PLSO00000000	SAMN08179970
Acidobacteria_bog_370	90.01	2.59	58.767886255363	5677172	73.20120700_S1D.36	NA	NA	PLSM00000000	SAMN08179972
Acidobacteria_bog_371	78.45	2.87	60.2529970774551	4608566	73.20120700_S1D.41	NA	NA	PLSH00000000	SAMN08179977
Acidobacteria_bog_372	93.07	0.85	58.398553726949	4737259	73.20110700_S3M.38	NA	NA	PLSE00000000	SAMN08179980
Acidobacteria_bog_373	75.83	0.86	61.5638817971005	3898469	73.20120700_S1D.65	NA	NA	PLSB00000000	SAMN08179983
Acidobacteria_bog_374	80.59	2.3	61.7441061678161	7223734	73.20120700_S1D.72	NA	NA	PLRZ00000000	SAMN08179985
Acidobacteria_bog_375	91.88	0.05	62.8350900686504	8012244	73.20120700_S1D.97	NA	NA	PLRS00000000	SAMN08179992
Acidobacteria_bog_376	93.63	0.85	58.8521422099274	4292572	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLRQ00000000	SAMN08179994
Acidobacteria_bog_377	95.89	2.86	56.2331239413597	6334092	73.20120700_S1S.22	NA	NA	PLRJ00000000	SAMN08180001
Acidobacteria_bog_378	95.73	1.71	58.1113505733972	5462416	73.20110800_S1M.27	Ca. Acidiflorens stordalenmirensis	Ca. Acidiflorens	PLRF00000000	SAMN08180005
Acidobacteria_bog_379	88.96	3.45	61.3002950043803	3331541	73.20120800_E3X.5	NA	NA	PLRD00000000	SAMN08180007
Acidobacteria_bog_380	86.6	4	62.5920439667195	7275386	73.20110600_S3M.35	NA	NA	PLRC00000000	SAMN08180008
Acidobacteria_bog_381	80.96	0.05	62.6097671193568	4737408	73.20120700_S3X.5	NA	NA	PLRA00000000	SAMN08180010
Acidobacteria_bog_382	94.68	1.76	58.0026871778547	5343426	73.20120700_S1X.44	NA	NA	PLQW00000000	SAMN08180014
Acidobacteria_bog_383	93.62	2.56	58.8798639048872	4271862	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLQU00000000	SAMN08180016
Acidobacteria_bog_384	89.86	0	62.4149190619302	5456354	73.20120700_S3X.5	NA	NA	PLQP00000000	SAMN08180021
Acidobacteria_bog_385	90.14	0	58.8371776931226	4285919	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLQM00000000	SAMN08180024
Acidobacteria_bog_386	95.26	2.76	61.2549014432649	3486375	73.20120800_E3X.5	NA	NA	PLQF00000000	SAMN08180031
Acidobacteria_bog_387	75.52	0.88	62.5156770036142	6900820	73.20110600_S3M.35	NA	NA	PLQE00000000	SAMN08180032
Acidobacteria_bog_388	91.3	1.32	62.4490083469067	5331570	73.20120700_S3X.5	NA	NA	PLQD00000000	SAMN08180033
Acidobacteria_bog_389	91	0.86	59.8218793822875	4666888	73.20110800_S3D.6	NA	NA	PLQA00000000	SAMN08180036
Acidobacteria_bog_390	87	0.86	59.167473098015	4076722	73.20120700_S3D.16	NA	NA	PLPV00000000	SAMN08180041
Acidobacteria_bog_391	81.94	6.03	59.1180041311086	5742999	73.20110700_S3M.25	NA	NA	PLPU00000000	SAMN08180042
Acidobacteria_bog_392	91.9	0	59.848321237538	3387116	73.20120700_S3D.28	NA	NA	PLPS00000000	SAMN08180044
Acidobacteria_bog_393	74.81	1.72	60.1140191259906	3840820	73.20110800_S3D.42	NA	NA	PLPP00000000	SAMN08180047
Acidobacteria_bog_394	82.74	0	62.5397036023075	2868267	73.20120700_S3D.34	NA	NA	PLPO00000000	SAMN08180048
Acidobacteria_bog_395	86.62	3.85	61.4083857111489	3500242	73.20120700_S3X.41	NA	NA	PLPN00000000	SAMN08180049
Acidobacteria_bog_396	81.18	0.85	61.6624454719333	3069548	73.20120700_S3D.38	NA	NA	PLPM00000000	SAMN08180050
Acidobacteria_bog_397	99.07	0	62.3980203540331	5764657	73.20120700_S3X.5	NA	NA	PLPJ00000000	SAMN08180053
Acidobacteria_bog_398	91.7	1.72	59.8453880348315	4557546	73.20110800_S3D.6	NA	NA	PLPD00000000	SAMN08180059
Acidobacteria_bog_399	86.77	0.92	59.9274987923466	3575196	73.20120700_S3D.16	NA	NA	PLPA00000000	SAMN08180062
Acidobacteria_bog_400	81.07	3.88	59.1291384193968	5780977	73.20110700_S3M.25	NA	NA	PLOZ00000000	SAMN08180063
Acidobacteria_bog_401	76.09	6.25	60.231620314893	6126991	73.20110800_S3D.19	NA	NA	PLOY00000000	SAMN08180064
Acidobacteria_bog_402	89.89	0	60.0342697834675	3240527	73.20120700_S3D.28	NA	NA	PLOW00000000	SAMN08180066
Acidobacteria_bog_403	70.76	2.59	60.0818786352879	3720188	73.20110800_S3D.42	NA	NA	PLOV00000000	SAMN08180067
Acidobacteria_bog_404	81.64	0	62.6250799141494	2806769	73.20120700_S3D.34	NA	NA	PLOU00000000	SAMN08180068
Acidobacteria_bog_405	88.09	3.42	61.4841697349848	3636854	73.20120700_S3X.41	NA	NA	PLOT00000000	SAMN08180069
Acidobacteria_bog_406	99.95	0	62.3843418090911	5791462	73.20120700_S3X.5	NA	NA	PLOR00000000	SAMN08180071
Acidobacteria_bog_407	90.25	0.86	59.7931121531546	4738309	73.20110800_S3D.6	NA	NA	PLOM00000000	SAMN08180076
